시도명,시군구명,위치,지번주소,위도,경도,데이터기준일자
강원도,동해시,초록정 국궁활터 동쪽,강원도 동해시 송정동 1311,37.4843801,129.120788,2022-07-21
강원도,동해시,,강원도 동해시 송정동 1305-1,37.484876,129.122859,2022-07-21
강원도,동해시,,강원도 동해시 송정동 1664,37.418561,129.124984,2022-07-21
강원도,동해시,,강원도 동해시 송정동 51,37.488012,129.133396,2022-07-21
강원도,동해시,,강원도 동해시 송정동 51,37.4883501,129.1345201,2022-07-21
강원도,동해시,전천자전거1길 종점,강원도 동해시 송정동 1664-20,37.4898901,129.1372801,2022-07-21
강원도,동해시,전천강 광장 앞,강원도 동해시 북평동 281,37.4837101,129.120979,2022-07-21
강원도,동해시,북평원님답교놀이보존회 컨테이너 앞,강원도 동해시 북평동 44,37.484219,129.123016,2022-07-21
강원도,동해시,,강원도 동해시 북평동 1-1,37.484969,129.1255101,2022-07-21
강원도,동해시,,강원도 동해시 구미동 421-1,37.485645,129.126854,2022-07-21
강원도,동해시,,강원도 동해시 구미동 391-1,37.486194,129.130146,2022-07-21
강원도,동해시,,강원도 동해시 송정동 148-2,37.4867301,129.1329801,2022-07-21
강원도,동해시,,강원도 동해시 구미동 368,37.487168,129.135269,2022-07-21
강원도,동해시,해양레포츠센터,강원도 동해시 구미동 갯목길 147-189,37.490377,129.140785,2022-07-21
강원도,동해시,해양레포츠센터,강원도 동해시 구미동 1-2,37.49071786,129.141157,2022-07-21
강원도,화천군,용소교량 아래,화천읍 신읍리 산301-1,,,2022-07-29
강원도,화천군,갈목교 아래(캠플레이 오토캠핑장),화천군 상서면 봉오리 150,,,2022-07-29
강원도,화천군,갈멜교 아래,화천군 상서면 봉오리 189-8,,,2022-07-29
강원도,화천군,갈목계곡 산약초 마을 아래,화천군 상서면 봉오리,,,2022-07-29
강원도,화천군,곡운구곡,화천군 사내면 용담리 913-18
강원도,화천군,곡운구곡,화천군 사내면 용담리 913-10,,,2022-07-29
강원도,화천군,78연대 2대대 앞,화천군 사내면 용담리 843,,,2022-07-29
강원도,화천군,지연사 앞,화천군 사내면 용담리 845-9,,,2022-07-29
강원도,화천군,민박집 부근,화천군 사내면 용담리 253-6,,,2022-07-29
강원도,화천군,청운대 정자,화천군 사내면 용담리 188-1,,,2022-07-29
강원도,화천군,물안골교 위,화천군 사내면 용담리 174-7,,,2022-07-29
강원도,화천군,새댁골,화천군 사내면 용담리 913-1,,,2022-07-29
강원도,화천군,용정쉼터 앞,화천군 사내면 용담리 2-3,,,2022-07-29
강원도,화천군,광덕리 옥녀탕,화천군 사내면 광덕리 1157,,,2022-07-29
강원도,횡성군,애고지11교,강원도 횡성군 청일면 유동리 1294번지,,,2022-07-25
강원도,횡성군,신대리공원내,강원도 횡성군 청일면 신대리 320번지,,,2022-07-25
강원도,횡성군,농거리야영장,강원도 횡성군 청일면 유동리 1150번지,,,2022-07-25
강원도,횡성군,"잠수교,구동수,도로밑",강원도 횡성군 공근면 오산리 257-1번지,,,2022-07-25
강원도,횡성군,"뚜꺽소,동미",강원도 횡성군 공근면 상동리 576-8번지,,,2022-07-25
강원도,횡성군,"유장골,가곡교",강원도 횡성군 공근면 가곡리 77-4번지,,,2022-07-25
강원도,횡성군,"물궁당,청곡교",강원도 횡성군 공근면 청곡리 325번지,,,2022-07-25
